0, 16x16, Error: ejecutando el filtro merge, 
1, 32x32, Error: ejecutando el filtro merge, 
2, 48x48, Error: ejecutando el filtro merge, 
3, 64x64, Error: ejecutando el filtro merge, 
4, 80x80, Error: ejecutando el filtro merge, 
5, 96x96, Error: ejecutando el filtro merge, 
6, 112x112, Error: ejecutando el filtro merge, 
7, 128x128, Error: ejecutando el filtro merge, 
8, 144x144, Error: ejecutando el filtro merge, 
9, 160x160, Error: ejecutando el filtro merge, 
10, 176x176, Error: ejecutando el filtro merge, 
11, 192x192, Error: ejecutando el filtro merge, 
12, 208x208, Error: ejecutando el filtro merge, 
13, 224x224, Error: ejecutando el filtro merge, 
14, 240x240, Error: ejecutando el filtro merge, 
15, 256x256, Error: ejecutando el filtro merge, 
16, 272x272, Error: ejecutando el filtro merge, 
17, 288x288, Error: ejecutando el filtro merge, 
18, 304x304, Error: ejecutando el filtro merge, 
19, 320x320, 3930412, 
0, 16x16, Error: ejecutando el filtro merge, 
1, 32x32, Error: ejecutando el filtro merge, 
2, 48x48, Error: ejecutando el filtro merge, 
3, 64x64, Error: ejecutando el filtro merge, 
4, 80x80, Error: ejecutando el filtro merge, 
5, 96x96, Error: ejecutando el filtro merge, 
6, 112x112, Error: ejecutando el filtro merge, 
7, 128x128, Error: ejecutando el filtro merge, 
8, 144x144, Error: ejecutando el filtro merge, 
9, 160x160, Error: ejecutando el filtro merge, 
10, 176x176, Error: ejecutando el filtro merge, 
11, 192x192, Error: ejecutando el filtro merge, 
12, 208x208, Error: ejecutando el filtro merge, 
13, 224x224, Error: ejecutando el filtro merge, 
14, 240x240, Error: ejecutando el filtro merge, 
15, 256x256, Error: ejecutando el filtro merge, 
16, 272x272, Error: ejecutando el filtro merge, 
17, 288x288, Error: ejecutando el filtro merge, 
18, 304x304, Error: ejecutando el filtro merge, 
19, 320x320, 3985456, 
0, 16x16, Error: ejecutando el filtro merge, 
1, 32x32, Error: ejecutando el filtro merge, 
2, 48x48, Error: ejecutando el filtro merge, 
3, 64x64, Error: ejecutando el filtro merge, 
4, 80x80, Error: ejecutando el filtro merge, 
5, 96x96, Error: ejecutando el filtro merge, 
6, 112x112, Error: ejecutando el filtro merge, 
7, 128x128, Error: ejecutando el filtro merge, 
8, 144x144, Error: ejecutando el filtro merge, 
9, 160x160, Error: ejecutando el filtro merge, 
10, 176x176, Error: ejecutando el filtro merge, 
11, 192x192, Error: ejecutando el filtro merge, 
12, 208x208, Error: ejecutando el filtro merge, 
13, 224x224, Error: ejecutando el filtro merge, 
14, 240x240, Error: ejecutando el filtro merge, 
15, 256x256, Error: ejecutando el filtro merge, 
16, 272x272, Error: ejecutando el filtro merge, 
17, 288x288, Error: ejecutando el filtro merge, 
18, 304x304, Error: ejecutando el filtro merge, 
19, 320x320, 5671710, 
