N, WxH, Clock, Param0, Param1, Param2
0, 16x16, 14770, 0.5, 0, 0
1, 32x32, 450564, 0.5, 0, 0
2, 48x48, 90228, 0.5, 0, 0
3, 64x64, 166569, 0.5, 0, 0
4, 80x80, 252297, 0.5, 0, 0
5, 96x96, 356206, 0.5, 0, 0
6, 112x112, 646826, 0.5, 0, 0
7, 128x128, 781982, 0.5, 0, 0
8, 144x144, 982539, 0.5, 0, 0
9, 160x160, 1357331, 0.5, 0, 0
10, 176x176, 1237743, 0.5, 0, 0
11, 192x192, 1485015, 0.5, 0, 0
12, 208x208, 3132875, 0.5, 0, 0
13, 224x224, 2002842, 0.5, 0, 0
14, 240x240, 2257467, 0.5, 0, 0
15, 256x256, 4122412, 0.5, 0, 0
16, 272x272, 3855797, 0.5, 0, 0
17, 288x288, 4099676, 0.5, 0, 0
18, 304x304, 4721283, 0.5, 0, 0
19, 320x320, 5142691, 0.5, 0, 0
